@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair;Column1;_1;_2;_3;_4;_5
359690786;Tamam;474979455;87294072;Winterthur;8400;Technikumstrasse;28;fast_food;kebab;mediterranean;;;Tu-Sa 11:00-21:30; Mo 11:00-21:00;;no;;;;
359690871;Sonne;474996801;87298391;Winterthur;8400;Marktgasse;15;restaurant;regional;;;We-Su 11:00-14:30,17:00-22:00+;https://www.zur-sonne.ch/;;;;;;;
359691092;La Pergola;475001230;87291699;Winterthur;8400;Stadthausstrasse;71;restaurant;italian;;yes;"Mo-Sa 09:00-14:00,17:00-23:00; Su off";https://www.la-pergola.ch/;limited;;;;;;
359691412;Cantinetta Bindella;474997238;87287787;Winterthur;8400;Marktgasse;44;restaurant;italian;;yes;Mo-Sa 11:30-22:30; Su 12:00-22:00;https://www.bindella.ch/de/cantinetta-bindella-winterthur.html;yes;;;;;
359692073;Orsini;474987259;87247369;Winterthur;8400;Technikumstrasse;96;restaurant;;;yes;"Mo,Tu 10:00-22:00; We-Fr 10:00-23:00; Sa 15:00-23:00";;no;;;;;;
359692293;Stricker’s;474995420;87201703;;;;;restaurant;international;burger;regional;tapas;yes;yes;Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 09:00-24:00; Su 09:00-16:00;https://restaurant-strickers.ch/;no
359692440;Bellevue;475019996;87185647;;;;;restaurant;italian;;yes;Mo-Su 10:00-23:00;https://bellevue-pizzeria.ch/;no;;;;;;
359692842;Stadion;475023945;87182843;;;;;restaurant;;;;Mo-Fr 06:45-23:00; Sa 08:00-19:00; Su 08:00-14:00;;;;;;
359693315;Central;475060238;87148178;;;;;restaurant;;;;"Mo-Fr 08:00-14:00, 16:00-23:00; Sa 17:00-23:00";;;;;;;;
359694751;No18;475042060;87206480;Winterthur;8400;Wülflingerstrasse;18;restaurant;regional;;;Th-We 11:30-01:00; Th-Fr 11:30-02:00; Sa 15:00-02:00;https://18-winterthur.ch/;;;;;
359694784;Tandoor;475046210;87195676;;;;;restaurant;indian;;;"Mo-Fr 11:00-14:00,18:00-24:00;Sa-Su 18:00-24:00";http://www.restaurant-tandoor.ch/;no;;;;;;
359695274;Piazza;475052041;87172595;Winterthur;8400;Walkestrasse;23;restaurant;pizza;kebab;;;Mo-Th 17:00-22:30, Fr 17:00-23:00, Sa 12:00-23:00, Su 12:00-22:00;https://www.piazzapizza.ch/;;;;;;
359700824;Lori Take Away;475073743;87258670;Winterthur;8400;Brunngasse;41;fast_food;kebab;;;Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00;;no;;;;
